name,street_address,location_text,type_text,reviews_text,comments_text,Price_Range
Betty Lou's Seafood and Grill,318 Columbus Ave,"San Francisco, CA 94133-3908"," Seafood, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,,$$ - $$$
Coach House Diner,55 State Rt 4,"Hackensack, NJ 07601-6337"," Diner, American, Vegetarian Friendly",4 of 5 bubbles,"Both times we were there very late, after 11 PM.  At that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  Not so here - food was uniformly very good and the service quite good.  There weren't many people but it...More",$$ - $$$
Table Talk Diner,2521 South Rd Ste C,"Poughkeepsie, NY 12601-5476"," American, Diner, Vegetarian Friendly",4 of 5 bubbles,"Waitress was very friendly but a little pricey for a diner but the food was delicious 
The menu had a wide variety of foods to choose from but any choice would have been a good one",$$ - $$$
Sixty Vines,3701 Dallas Pkwy,"Plano, TX 75093-7777"," American, Wine Bar, Vegetarian Friendly",4.5 of 5 bubbles,"Not sure why I went there for the second time. Will not go again. Not because it was terrible but because it is just average.  
The place needs a food clean .... our menus were filthy...the table was filthy 
It is impossible to have a...More",$$ - $$$
The Clam Bar,3914 Brewerton Rd,"Syracuse, NY 13212"," American, Bar, Seafood",4 of 5 bubbles,Doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. Waitress was amazing and very helpful with the very large variety that they offer. My wife and I were very satisfied...More,$$ - $$$
E Tutto Qua,270 Columbus Ave,"San Francisco, CA 94133-4518"," Seafood, Italian, Pizza",4.5 of 5 bubbles,,$$ - $$$
Black Angus Steakhouse - Federal Way,2400 S 320th St,"Federal Way, WA 98003-5465"," American, Steakhouse, Bar",4 of 5 bubbles,This is an easy any time place to have dinner!  From week night to a special occasion.  The food is reasonably priced and always delicious!,$$ - $$$
Ziziki's,11663 Preston Rd,"Dallas, TX 75230-2704"," Mediterranean, Greek, Healthy",4.5 of 5 bubbles,"My husband and I went to Greece last fall and fell in love with the beauty and the food so while on a  Dallas business trip, we came across Ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...More",$$ - $$$
Vince's Italian Restaurant & Pizzeria,2815 NE Sunset Blvd,"Renton, WA 98056-3105"," Italian, Pizza, Vegetarian Friendly",4 of 5 bubbles,I love Vince's pizza and I was in the neighborhood after a meeting. I had a small pizza and salad.  Both were delicious and as I would expect. The service was friendly and attentive. The delivery was as quick as one can expect for a...More,$$ - $$$
John Thomas Steakhouse,1152 Danby Rd,"Ithaca, NY 14850-8927"," American, Steakhouse, Gluten Free Options",4 of 5 bubbles,"The ambience, food and service were all excellent. With a student at Cornell we look forward to more dinners there!",$$$$
ZaZa's Cucina,622 Cascadilla St,"Ithaca, NY 14850-4049"," Italian, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,"Nice big dining area.  Holds many people, so never feels crowded.  Food and cocktails are really good.",$$ - $$$
Dulin's Cafe,1929 Main St,"Vancouver, WA 98660-2608"," Cafe, American, Vegetarian Friendly",4.5 of 5 bubbles,This is the place if you're into the combo of excellent and sincerely unpretentious.  I'm not usually a breakfast lover - but I'll be back here to try their corned beef on potatoes and a few other treats.,$$ - $$$
Wilde Rover Irish Pub & Restaurant,111 Central Way,"Kirkland, WA 98033-6107"," Irish, Bar, Pub",4 of 5 bubbles,"Have been here before. This time it was disappointing. Beer variety and selection as always good but food wasn´t worth the price-
Fish and meet portion in general small and all close to well-done.
Service personal wasn´t committed. Once we finished the dinner plates were...More",$$ - $$$
New World Bistro Bar,300 Delaware Ave,"Albany, NY 12209-1627"," American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,"Came with a group of eight people, and had a wonderful evening.  The food was a wide variety, and very high quality.  Service was excellent.  The flatbread deluxe hamburger was a unique burger, and extremely tasty.  The spicy grilled green bean appetizer platter was outstanding....More",$$ - $$$
Red Eye Cafe,94 Walnut St,"Montclair, NJ 07042-3881"," American, Cafe, Healthy",4.5 of 5 bubbles,"My first time in this part of Montclair. Since I arrived at 12.15 pm, there was never ending influx of customers for a good 2 hours.  As busy as this restaurant is, we were not rushed and we fully enjoyed our food while enjoying our...More",$$ - $$$
Winberies Princeton,One Palmer Square,"Princeton, NJ 08542-3718"," American, Bar, Pub",4 of 5 bubbles,We brought our family here for dinner on a Saturday. It was busy but the staff was very attentive and our food did not take too long. The tiger tots were amazing!  The rest of our food was good as well. A little noisy and...More,$$ - $$$
Malbec,1001 E Green St,"Pasadena, CA 91106-2404"," Steakhouse, Latin, Argentinean",4.5 of 5 bubbles,,$$$$
Din Tai Fung,700 Bellevue Way NE,"Bellevue, WA 98004-5046"," Chinese, Asian, Taiwanese",4.5 of 5 bubbles,"Din Tai Fung has always been inconstantly great.  The dumplings, noodles, and rice dishes are sublime and the service is fast and friendly. 

While everything is great and fresh ]make sure you do not forget your vegetables as the greens here are a work of...More",$$ - $$$
Ravenous,21 Phila St,"Saratoga Springs, NY 12866-3104"," Belgian, French, Cafe",4.5 of 5 bubbles,"The food and service were very good, but the size of the portions relative to price were a little disappointing.  They did nicely accommodate our large family gathering, which was nice!  The poutine was outstanding!More",$$ - $$$
Mimi's Cafe,1400 S Harbor Blvd,"Anaheim, CA 92802-2311"," American, Cajun & Creole, Vegetarian Friendly",4 of 5 bubbles,,$$ - $$$
La Hacienda Ranch,4110 Preston Rd,"Frisco, TX 75034-8508"," Steakhouse, Mexican, Vegetarian Friendly",4 of 5 bubbles,Food always great and the margaritas are THE BEST. Wait staff are always courteous and friendly. Best TexMex in town.,$$ - $$$
Breadsticks Cafe & Grill,1133 Boardwalk,"Atlantic City, NJ 08401-7329"," American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,"We dined for lunch (group of four) and all ordered the 3-course offering for $18.99
Excellent value and the quality was exceptional. Food was fresh,
 hot and adequately portioned.No disappointment.

Better than the food(which is hard to do)was our attentive pleasant server Eden. She truly...More",$$ - $$$
Revolve True Food & Wine Bar,10024 Main St,"Bothell, WA 98011-3464"," Bar, Contemporary, Fusion",4 of 5 bubbles,"Took my fiancé here for Valentine’s Day. She discovered a while back that she has a gluten allergy which has really limited what she can eat. I on the other hand, was very skeptical. Long story short, the food was delicious and I left very...More",$$ - $$$
The Lion's Share,629 Kettner Blvd,"San Diego, CA 92101-6718"," American, Bar, Gluten Free Options",4.5 of 5 bubbles,,$$ - $$$
Tilikum Place Cafe,407 Cedar St,"Seattle, WA 98121-1519"," American, European, Vegetarian Friendly",4.5 of 5 bubbles,"One of our favorite brunch place in Seattle. Came back for the second time while we were in town. Food is absolutely lovely but the baked potatoes were a bit too dry for my taste. Overall, great place for brunch.",$$ - $$$
BV Tuscany Italian Restaurant,368 Cedar Ln,"Teaneck, NJ 07666-3411"," Italian, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,"BV Tuscany is in a great location with shops and a local movie theater. We always find street parking close by. The food is delicious so fresh, excellent quality. The service is always on point so friendly too! Its very romantic inside. The desserts are...More",$$ - $$$
The Misfit Restaurant & Bar,225 Santa Monica Blvd,"Santa Monica, CA 90401-2207"," American, Bar, Contemporary",4.5 of 5 bubbles,,$$ - $$$
Beso,11 Schuyler St,"Staten Island, NY 10301-1952"," Latin, Spanish, Vegetarian Friendly",4.5 of 5 bubbles,This place is horrible!!!!!  They dont know how to treat customers especially when they are at fault.  This place is ran by idiots and the owner should be ashamed of who he has representing him. I was a loyal customer for 4 years and after...More,$$ - $$$
Social 37,2 Route 37 W Unit B2,"Toms River, NJ 08753-6588"," American, Bar, Gastropub",4 of 5 bubbles,Went recently on a saturday night for a birthday celebration. We do like the atmosphere. it's loud but we didn't mind. the menu is very eclectic and appealing. problem is most everything just left the little bit to be desired. mainly not enough in the...More,$$ - $$$
Ristorante Paradiso,120 Park Ln,"Kirkland, WA 98033-3717"," Italian, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,We live part time in Italy and are tough critics of many Italian restaurants in the US.  Paradise surprised us with two excellent dishes that would have been very good in Italy.  The pasta with cream sauce and sausage was super.  Very rich and creamy...More,$$ - $$$
Tabernilla,7124 Bob Bullock Loop,"Laredo, TX 78041-2080"," Spanish, Mediterranean, Wine Bar",5 of 5 bubbles,"Unique tapas menu - NOT a Mexican restaurant! My waiter made excellent recommendations and of course, the small portions or “tapas”, made it ideal to try several. 

Everything I ordered was de-lish!

Classy, relaxing ambiance.",$$ - $$$
Buddakan,1 Atlantic Ocean,"Atlantic City, NJ 08401-6689"," Chinese, Asian, Vegetarian Friendly",4.5 of 5 bubbles,I can't tell you enough of how amazing the food here is. The edamam ravioli are to die for. There is not one dish I didn't like. This is my favorite part of visiting Atlantic City,$$$$
Hodel's Country Dining,5917 Knudsen Dr,"Bakersfield, CA 93308-2946"," American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,,$$ - $$$
Magic Castle,7001 Franklin Ave,"Los Angeles, CA 90028-8600"," American, Vegetarian Friendly",4.5 of 5 bubbles,,$$$$
Jorge's Mexican Restaurant,6051 South Bell Street,"Amarillo, TX 79109-6618"," Mexican, Southwestern, Vegetarian Friendly",4 of 5 bubbles,Decent service.  Nothing to write home about.  Got the fajitas and the meat was way over seasoned and the beef was super chewy. The tortillas were the only good thing of that meal.  My sister got the stuffed avocado meal and was not good.  It...More,$$ - $$$
Ziziki's at The Star,6765 Winning Dr,"Frisco, TX 75034-8162"," Mediterranean, Greek, Italian",4.5 of 5 bubbles,"Great staff, super atmosphere and superb staff! If you like Greek food, this place is a must!  Compared to the other restaurants at The Star, it is actually not overcrowded.  Well worth a visit!",$$ - $$$
The Attic,3441 E Broadway,"Long Beach, CA 90803-5906"," Cajun & Creole, American, Vegetarian Friendly",4.5 of 5 bubbles,,$$ - $$$
Del Posto,85 Tenth Avenue,"New York City, NY 10011"," Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"Fabulous!  Deserves the Michelin Star that it already has.  We had the 5 course dinner on a wintry Sunday night.  All 5 courses were marvelous!  Having said that, the linguine with geoduck was my favorite, followed closely by the veal/tuna/sweetbread appetizer.  Pork agnolotti and branzino...More",$$$$
Moore's Tavern & Restaurant,402 W Main St,"Freehold, NJ 07728-2540"," American, Bar, Pub",3.5 of 5 bubbles,On Tuesdays Moore's has 2 for 1 burgers. The burgers are good and large. The service however was not so good. My wife ordered bacon with her burger but did not get it. When we mentioned this to the waitress so we wouldn't be charged...More,$$ - $$$
Fin Raw Bar and Kitchen,183 Glenridge Ave,"Montclair, NJ 07042-3526"," American, Seafood",4 of 5 bubbles,"Oh the food is the freshest ever. Sushi bar rocks. Wait staff good looking, fun and helpful in selecting from the awesome dishes and specials. Fish tacos are superb. This is also best run location.",$$ - $$$
The Capital Grille,117 W 4th St,"Austin, TX 78701-3914"," American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,"Such a nice evening! Professional and kind service in a cozy atmosphere. Everything was delicious. We shared oysters, truffle fries and asparagus. We both had beautiful steaks. Would go monthly if I lived here.",$$$$
The Cheesecake Factory,639 E Shaw Ave,"Fresno, CA 93710-7729"," American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,,$$ - $$$
Pizzeria Credo,4520 California Ave SW,"Seattle, WA 98116-4111"," Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,"Six of us dined here last night - Carbonara, pizzas, gnocchi, caprese and desserts were all excellent - both taste and presentation.  Warm, friendly and attentive service. Love this place!  A new favorite in Seattle.",$$ - $$$
Cheeseboard Pizza,1504 Shattuck Ave,"Berkeley, CA 94709-1517"," Pizza, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,,$
Cortina's Italian Market & Pizzeria,2175 W Orange Ave,"Anaheim, CA 92804-3556"," Italian, Pizza, Deli",4.5 of 5 bubbles,,$$ - $$$
Havana Central,One Ridge Hill Blvd,"Yonkers, NY 10710-7609"," Caribbean, Latin, Spanish",3.5 of 5 bubbles,"We came with high hopes and left underwhelmed. We were hoping for something a bit different, and interesting. The waitress spent more time describing drinks than food, which made me realise that this was more of a bar than a restaurant. And the food was...More",$$ - $$$
Yard House,300 Santana Row,"San Jose, CA 95128-2423"," American, Bar, Pub",4 of 5 bubbles,,$$ - $$$
Siete Banderas,901 Iturbide St,"Laredo, TX 78040-5859", Mexican,4.5 of 5 bubbles,We had my daughter-in-law’s baby shower and we invited a large group of friends and family to celebrate the future birth of my granddaughter.  Siete Banderas restaurant offers a varied and delicious brunch items.  Everybody enjoyed the food and drinks.,$$ - $$$
Jeanne D'Arc Restaurant,715 Bush St,"San Francisco, CA 94108-3402"," French, European, Vegetarian Friendly",4.5 of 5 bubbles,,$$ - $$$
Luby's Cafeteria Mall Del Norte,5300 Ih 35,"Laredo, TX",,4 of 5 bubbles,"Located inside the Mall Del Norte, this is a rather small but clean Luby's.  The food and service are usually quite good.",American
Norma's Cafe,8300 Gaylord Pkwy,"Frisco, TX 75034-8566"," American, Cafe, Diner",4.5 of 5 bubbles,"Great home style food. Yummy breakfast. Large portions. Have tried chicken strips, burgers, chicken fried steak and pies. All great!",$$ - $$$
Lonesome Dove Western Bistro,2406 N Main St,"Fort Worth, TX 76164-8519"," American, Southwestern, Vegetarian Friendly",4.5 of 5 bubbles,What a fantastic experience. The bartender was very knowledgeable about the menu and a joy to talk with.  Our server Joe as knowledgeable and attentive. The food was Devine.  The appetizers were out of this world.  I had the elk for my main course and...More,$$$$
KathaKali Indian Eatery,11451 98th Ave NE,"Kirkland, WA 98033-4325"," Indian, Asian, Vegetarian Friendly",4.5 of 5 bubbles,"We thoroughly enjoyed our Valentine’s Weekend dinner here!  We’d been advised by a friend to arrive early on a weekend, so we arrived as they opened for the dinner service @ 5:30 (they don’t accept weekend reservations).  By 6:00 pm there was a line of...More",$$ - $$$
Mission Galleria,3700 Main St,"Riverside, CA 92501-3317", Cafe,4.5 of 5 bubbles,,$
Bill's Cafe,1115 Willow St,"San Jose, CA 95125-3158"," American, Cafe, International",4.5 of 5 bubbles,,$$ - $$$
MASH'D,3401 Preston Rd Ste D1,"Frisco, TX 75034-9007"," American, Bar, International",4.5 of 5 bubbles,If you are in Frisco you have to stop here. The Drinks are amazing. Service is great. Food is great.,$$ - $$$
Eddie V's Wildfish,1370 Bison Ave,"Newport Beach, CA 92660-9071"," American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,,$$$$
Buzzard Billy's,100 Interstate 35 N,"Waco, TX 76704-2518"," American, Bar, Seafood",3.5 of 5 bubbles,We sure enjoyed our meal and the margaritas we had at Buzzard Billy’s. The place was hard to get to because of construction but well worth it. It’s on the river and has a great view and was very nice indoors with friendly staff.,$$ - $$$
Anthony's HomePort,135 Lake St S,"Kirkland, WA 98033-6468"," American, Seafood, Vegetarian Friendly",4 of 5 bubbles,The 3 course menu for $25 is available anytime in January which is a good deal. The salmon dip and northwest duet were good. However the salmon dip was only accompanied by a couple of crackers and slices of apple. The hot fudge sundae for...More,$$ - $$$
Kwan Tip Thai,29426 Pacific Hwy S,"Federal Way, WA 98003-3829"," Asian, Thai, Vegetarian Friendly",4.5 of 5 bubbles,"We had a meeting in Federal Way that was going to end late, and I knew we needed to get to lunch right away, so I researched places. This sounded good, and am I glad we went!  We had the Kwan Tip Wings, which was...More",$$ - $$$
Longboard Restaurant & Pub,217 Main St,"Huntington Beach, CA 92648-5127"," American, Bar, Pub",4 of 5 bubbles,,$$ - $$$
Acropolis Pizza & Pasta,500 Central Way,"Kirkland, WA 98033-6208"," Greek, Italian, Pizza",4 of 5 bubbles,"This place has been run by the same family since they opened in 1973.  I had a salad and a half meatball grinder, sliced meatballs with tomato sauce and cheese.  These things are delicious but can be messy to eat.  Imagine if it had round...More",$
Cedars at Pier One,355 Clover Island Dr,"Kennewick, WA 99336-3678"," American, Seafood, Bar",4 of 5 bubbles,"We were excited to go here and have an early Valentine's Day dinner, Thursday, the day before the holiday and see if things had changed with the new owner. We sat in the lounge while we waited for our table. The atmosphere was relaxed, the...More",$$$$
Bisque Restaurant,2020 Long Beach Blvd,"Ship Bottom, Long Beach Island, NJ 08008-4353"," American, Seafood, Gluten Free Options",4.5 of 5 bubbles,"Three star restaurant, open all year BYOB.Classy, elegant dining. Wine glasses, table cloths. There’s not one thing on the fine menu that I would not try! Great Chef! You got me hooked!!!🤙🤙🤙",$$$$
Rosco's Burger Inn,3829 Tompkins Rd,"El Paso, TX 79930-6215"," American, Diner",4.5 of 5 bubbles,"We had a Cheeseburger and Cujo dog! Onion rings were impressive- the straight cut French fries were golden, brown and delicious. The bowl of chili with onions and cheese was good and perfectly spicy. The spicy ketchup and salsa served in squeeze bottles are also...More",$
The Capital Grille,155 E 42nd St,"New York City, NY 10017-5608"," American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,Service was great and the steaks were awesome. I highly recommend this Capital Grill when In NYC. Everyone was accomodating.,$$$$
Maxie's Supper Club and Oyster Bar,635 W State St,"Ithaca, NY 14850-3347"," American, Bar, Seafood",4 of 5 bubbles,"They nailed the Cajun atmosphere, felt like we could be dining in a New Orleans restaurant! Our waitress was very bubbly, attentive and informative. We ordered oysters from 3 different north eastern states. I had only had oysters from the gulf and never knew they...More",$$ - $$$
The Cheesecake Factory,197 Riverside Sq Mall,"Hackensack, NJ 07601-6310"," American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,"Lots of bread and butter to start.
Expensive, small drinks with too much ice no matter what you ask for.
Big bowls of cheap lettuce with minimal nothing special ingredients.
AND - $9 a slice for their 2,000 calorie cheesecake lol. Argh! 
Stay away please...More",$$ - $$$
677 Prime,677 Broadway,"Albany, NY 12207-2998"," American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,"Tremendous service.  Nice atmosphere.  Ordered the large filet mignon and it had a lot of grisly fat in the middle.  Didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  I prefer...More",$$$$
Bareburger,7149 Austin St,"Forest Hills, NY 11375-4728"," American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,"We ordered from this location 
And I'll say excellent burgers.  
Good size..  Very tasty
But very pricey",$$ - $$$
Oto Sushi,11628 97th Ln NE,"Kirkland, WA 98034-4269"," Japanese, Sushi, Asian",4 of 5 bubbles,"We had the Mt St Helens special.  It’s a roll with avocado and crab meat inside and a fish variety on the outside.  It was great and creative.  The sushi we had was all very good.  

The soba noodle was mediocre, so don’t go for...More",$$ - $$$
Planet Thai,910 NE Tenney Rd,"Vancouver, WA 98685-2837"," Asian, Thai, Vegetarian Friendly",4.5 of 5 bubbles,"Recently received a score of 60 from health department.  A score of 100 or higher  is closing the establishment 
Don't think I'll be back.",$$ - $$$
Red Apple Cafe,488 W Herndon Ave,"Fresno, CA 93650-1329"," American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,,$$ - $$$
Ayothaya Thai Restaurant,5604 176th St E,"Puyallup, WA 98375-9306"," Thai, Asian, Vegan Options",4.5 of 5 bubbles,An extensive menu that does not disappoint. This is my go-to place for Thai food near home. I love both the Tom Yum and the Tom Ka soups. I often just order the soup with a side of rice for an excellent meal.,$$ - $$$
Mulvaney's Building & Loan,1215 19th St,"Sacramento, CA 95811-4154"," American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,,$$$$
Fat Pie Pizza,1015 Harris Ave,"Bellingham, WA 98225-7034"," Italian, American, Pizza",4.5 of 5 bubbles,"Even a boy from Brooklyn NY enjoyed the pizza. Nice soft pizza with good cheese, mushrooms and pepperoni. Also had a bison burger which was cooked the way we like it. 

And the staff was extremely helpful and attentive. We carried out and everything was...More",$$ - $$$
Jack Allen's Kitchen,3600 N Capital of Texas Hwy,"Austin, TX 78746-3314"," American, Southwestern, Bar",4.5 of 5 bubbles,Had a valentine dinner with my wife. She had the grilled ruby red trout and she said it was excellent. I had the crispy fried red fish and it was excellent. Our waiter was very personable and excellent service.,$$ - $$$
Rutabegorz,158 W Main St,"Tustin, CA 92780"," American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,,$$ - $$$
La Volpe,201 Brazos St. Bldg B,"Austin, TX 78701"," Italian, American, Seafood",4.5 of 5 bubbles,"What Can I say ? When in Austin you should visit La Volpe, my first time around and by far I am already in love. I had no idea about the restaurant but my mom is from around and she told me about this incredible...More",$$ - $$$
Brother's Office Pizzeria,13221 E 32nd Ave,"Spokane Valley, WA 99216-0138"," Pizza, Vegetarian Friendly",4.5 of 5 bubbles,"We have been to both Valley locations, multiple times. The stores are not really that big so finding a place to sit can sometimes be difficult. Not a place to bring more than about 6-8 people. Their pizza is quite excellent,  maybe in the Spokane...More",$$ - $$$
Gorkha Durbar,25250 Pacific Hwy S,"Kent, WA 98032-6539"," Asian, Indian, Tibetan",4.5 of 5 bubbles,"Our group of 4 was limited in knowledge of the restaruant fare.  Our server, Anis, was very helpful in suggesting items that made our dining experience very enjoyable.  We enjoyed panner momos, spinach naan, vegetable thukpa, mango chicken, and lamb saag.  With our restaurant.com coupon,...More",$$ - $$$
H3 Ranch,109 E Exchange Ave,"Fort Worth, TX 76164-8211"," American, Steakhouse, Southwestern",4.5 of 5 bubbles,"My first time visiting this restaurant. Oh my!! It was phenomenal from walking in the doors to walking out with a full stomach! Service, food, atmosphere, prices... I was not disappointed by any means.",$$ - $$$
Ajanta Distinctive Indian Cuisine,1888 Solano Ave,"Berkeley, CA 94707-2309"," Indian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,,$$ - $$$
Black Angus Steakhouse,3601 Rosedale Hwy,"Bakersfield, CA 93308-6230"," American, Steakhouse, Bar",4 of 5 bubbles,,$$ - $$$
Off Vine,6263 Leland Way,"Los Angeles, CA 90028-8207"," American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,,$$ - $$$
Seasons 52,2000 Route 38,"Cherry Hill, NJ 08002-2100"," American, Wine Bar, Vegetarian Friendly",4.5 of 5 bubbles,"The food was very very good.
Over priced in my opinion, but extremely good. Not a big selection to choose from.
The waitress was extremely good in the beginning but tended to ignore us at the end. 
The place was so crowded people were standing...More",$$ - $$$
Esquina Latina,25 Liberty St,"New Brunswick, NJ 08901-1210"," Latin, Cuban, Caribbean",4 of 5 bubbles,Visted on a sat night...busy so make sure you reserve a table...moderately priced....excellent portions...started with 3 beef empanadas....tasty and not greasy at all....also had the cuban chorizo..could have been spicier..but it was excellent...for entrees stuffed porkchop with chorizo and manchego cheese....smothered in pears and onions...also...More,$$ - $$$
Pane e Vino,8945 S Fry Rd,"Katy, TX 77494"," Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,We heard about Pane e Vino from a friend and decided to try it.  We were met by the owner and escorted to our table.  Three of us ordered the lasagna and thought it was really good.  The fourth person ordered the veal picatta and...More,$$ - $$$
Capers + Olives,2933 Colby Ave,"Everett, WA 98201-4010"," Italian, Vegetarian Friendly",4.5 of 5 bubbles,"Everything here is delicious and well-prepared from the olives to the bruschetta to the pasta (amazing--we tried three different ones and they were all scrumptious) to the mains. They have a lovely wine list and good cocktails. We went on a monday evening, called last...More",$$ - $$$
Elements Restaurant,907 Main Street,"Vancouver, WA 98660"," American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,"My sister and I came here on Christmas Eve for dinner and it could not have been more pleasant!!  We both had melt in your mouth salmon, which was expertly prepared and we both loved!!  Also had a delightful cheesecake with wonderful coffee for dessert,...More",$$ - $$$
Jack's Oyster House,42-44 State Street,"Albany, NY 12207-2804"," American, Seafood, Gluten Free Options",4 of 5 bubbles,This restaurant feels like you are walking into the past in a good way. Greeted by a gentleman who was polite and very organized. Our waiter never stopped moving was very polite. He was good about all of our requests. We even had to make...More,$$$$
Yono's Restaurant,25 Chapel St,"Albany, NY 12210-2733"," Indonesian, American, Vegetarian Friendly",4.5 of 5 bubbles,We’ve been in this nice and classy place for dinner with my husband and we remain very satisfied of our four corses menu! Every plate was delicious and service was awesome) The chief was attentive to every guest! Recommended!,$$$$
Fleming's Prime Steakhouse & Wine Bar,1201 Lake Woodlands Dr Ste 305,"The Woodlands, TX 77380-5011"," American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,"Celebrating the end of 2019.  Reserved for 2 at 4:45, yet table set for four...awkward.  Lots of young families with small children. Fun to watch!  My gorgeous smart & sweet wife had the Modern Caesar Salad that comes with two pieces of petite garlic toasts....More",$$$$
Bill's Pizza,119 S Indian Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-6603"," Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,,$
LuNello's Resturant,182 Stevens Ave,"Cedar Grove, NJ 07009-1149"," Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"My sisters and their husbands and I went here for my Mom’s 88th birthday. Wonderful restaurant. The food and service were spectacular. The portions were surprisingly large. But of course you pay for what you get. My brother-in-law picked up the tab, which had to...More",$$$$
Ironbound,1000 Spring St,"Elizabeth, NJ 07201"," American, Bar",4 of 5 bubbles,"Ironbound - the pizza was pretty good and the beer was cold.  It was cold and rainy outside, I had returned my rental car, the service was good and it was convenient.",$$ - $$$
Pizza Port,13517 Lefferts Blvd,"South Ozone Park, NY 11420-3601"," Pizza, Italian",4 of 5 bubbles,"Deliver to hotels in area. Used them when we stayed at Holiday Inn Express Kennedy Airport. I ordered sausage parmigiana with a nice side salad. My spouse had a baked manicotti dish. Delivery did take an hour, but the dishes were still hot when delivered...More",$
Sbarro,651 Kapkowski Rd,"Elizabeth, NJ 07201-4901"," Italian, Pizza, Fast Food",4 of 5 bubbles,Black Friday everything else was very crowded so we decided to grab a quick bite here. The line moved fast so was good. The cheese pizza was good. But the veggie was below average.the spaghetti was okay,$
Brasilia Grill,99 Monroe Street,"Newark, NJ 07105"," Latin, Barbecue, Brazilian",4 of 5 bubbles,"Food and drinks are always on point. I visit 3 to 4 times a month. Today they had a guest singer. JUST AWEFUL!! He cannot sings,sounds terrible and just loud. How do you chase customers away? Have the band that played at Brasilia on Feb...More",$$ - $$$
